maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,class
20,20,0.571993299347919,1,1,68.1710445138545,5.03704782087792,4.49387347036171,47.9828593115066,5.64378088475385,4.13409941341258,1
6.5,6.5,0.495422503190128,1,1,99.7074032150082,4.33188088197656,3.85581164802558,23.7698619107096,5.32682051554432,3.89330687325992,1
12,12,0.852370645337392,1,1,100,3.13522957250149,2.86376023867033,36.0091961657028,4.99098848305647,3.92852602165887,1
12,12,0.825762661912035,1,1,100,3.02326351171302,2.80297290372116,9.00753676603798,3.93489585605696,2.22762478985292,1
63,130,0.47967318570325,0,1,94.5024907204434,5.52056896944351,5.10917023128251,80.6969827682639,5.93873621130234,4.76006139969821,0
27,54,0.349877262907227,0,0,26.7143816322643,5.7218972506405,5.19203751950121,85.4010878019962,6.13902038788429,5.21795989844453,0
49,372,0.403790376900654,0,0,45.5020754413445,6.30712032494999,5.99992488949452,82.7168539060275,6.10031566289008,5.3737776724057,0
56,146,0.206675636845466,0,0,49.4706616772135,5.89890007315512,5.49505162928353,99.0633508751386,6.01372540681636,5.12905992025826,0
65,388,0.276466218588745,0,0,28.1980448343281,6.24560702667837,6.01934488438958,49.7277341559727,6.01796689287014,5.05444129161721,0
30,445,0.326780116442848,0,0,27.2054223531915,6.46108242440703,6.25282067252588,125.858754562001,6.15158800895107,5.38809651340257,0
20.5,163,0.213811577626736,0,0,30.5570868479922,6.14650230132385,5.87668966753417,71.2617872968662,6.20837396972239,5.46797531372116,0
35,35,0.711354540001913,1,1,100,4.28862930715195,3.90197454796483,37.9145959606762,5.91428998087509,4.29514137029993,0
