maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,mean_FFT_X,max_FFT_X,std_FFT_X,class
114,114,0.657904261782023,1,0,26.7544633656516,5.81556338396788,5.21276444129558,316.302606319998,6.16623681156694,5.83297969472969,6.70511798642384,56.9794898623833,10.3645394297823,1
19.5,39,0.23567843402207,0,0,22.4069267859578,5.65838052750454,5.03483596392075,92.6666431712828,5.976645618095,5.00932587075266,6.33035779363243,62.5136907001012,10.7989614476168,1
70,70,0.694377986912419,1,0,23.9813357256011,5.16533808311212,4.67816283012327,65.718950254134,6.05471966835215,5.30422632571139,11.8291798435244,113.664587968213,20.5013195062823,1
24,195,0.300394448193348,0,0,45.4269030130698,6.33677314798394,5.90634734472228,154.637407845452,6.03543529352369,5.34526450578507,7.93356594744497,78.4997155194531,13.6070293302619,1
24,387.5,0.242298082073305,0,0,47.6753361693373,6.3712676918653,6.12779612101521,131.557343524347,6.14945637020671,5.27596036513898,9.04993203283423,70.7227769470349,12.8400567585109,1
60,91,0.617524069465396,0,1,81.1567142316102,5.37328769974406,5.01073354106002,205.535608273979,6.03450356987575,5.50482878095726,14.8443261977926,129.294549776883,28.0495717010963,0
11,144,0.176613847380059,0,0,73.8769203597972,6.1579418743722,5.90496718540359,46.4166869430906,6.27544239995348,5.48253797948789,8.07308659909492,49.0449960070332,12.0568261207339,0
63,788.5,0.522460792292562,0,0,51.5527205034035,6.490281323534,6.4485007964714,378.171601361258,6.3713278295377,6.10746459405976,9.94225129735019,53.3101301706744,13.8544252400841,0
78,257.5,0.432515668426282,0,0,26.9081249411458,5.326737564813,5.10768191908858,149.213017999844,5.94432544457026,5.19219096208496,12.9793016975439,81.6022954870134,20.6010541593139,0
26.5,110,0.158671109678685,0,1,78.9731615268705,6.20594022435507,5.54650041704329,205.228751868983,6.11403521954027,5.5270559911174,8.51071691462283,67.9288795688131,12.6246629785181,0
46,572,0.384061344841945,0,1,54.3549732861129,6.45485407373398,6.3101773527591,78.9866418868655,6.20843305802321,5.44070731866057,7.41345469465326,35.450804672129,8.30906253164055,0
36.5,807,0.418412685439636,0,0,53.1502536989077,6.48076134546432,6.35624605907453,126.254732782945,6.14047602203535,5.54095828805199,8.42169963769588,66.7297597854642,12.5149148024839,0
33,495.5,0.524869351219203,0,1,61.3193211853417,6.4728068106427,6.39042467886717,115.313028533733,6.24874397869691,5.59228976200507,13.3702745485374,57.9815889693103,15.6259603045295,0
