maxArea,totalArea,ellipse_similarity_ratio,noPeaks,belongs46,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,bicEn22h8,class
12,12,0.829366059524159,1,0,44.8505527109349,4.42562954529786,3.55375257251163,127.749844878639,6.00132072979852,5.20553999320736,1
34,34,0.462892928350475,1,1,71.6072878017772,5.86634339860905,5.33640506522016,288.279515931693,6.18480045978237,5.75592385710961,1
24,24,0.787374607950565,1,1,100,4.12514997443154,3.78075899133521,32.1415279446146,5.02509227119021,3.58850208104852,1
18,18,0.840932482369531,1,1,100,3.91125714135898,3.34896245703301,302.781833151241,5.92608509616712,5.72031463200442,1
15,15,0.836946079790447,1,1,100,4.26789529323774,3.65682659842518,296.718948456018,6.02558079505235,5.74246347525817,1
32,32,0.591430301344873,1,1,76.5173080821584,5.90959828629061,5.28566586113183,67.2323338894699,6.10291751690394,5.19787683620349,0
44.5,736.5,0.402410604275769,0,0,29.5515683977243,6.4036174468501,6.24692660029217,85.8313231809213,6.20934245500919,5.45404112752332,0
33.5,417,0.317324920523076,0,0,62.5953498122517,6.38356180071962,6.13081616668382,93.4107866805208,6.1146593672811,5.2714490013889,0
27,380.5,0.515133375399551,0,0,35.8427593477602,6.47616642099171,6.31663522544644,133.418994783078,6.18404149173196,5.48947378612576,0
21.5,125.5,0.268393496413933,0,1,52.2993617385691,6.37296532566689,5.93479999970564,75.0381898055479,6.16355488542176,5.12968974024497,0
28.5,88.5,0.256654756284509,0,0,30.1162343663549,5.78895783453722,5.39831167957824,187.724523151954,6.07123303700785,5.44769872349394,0
25,100.5,0.353095351598979,0,1,45.3555545888795,6.34262062728027,6.062185068114,79.9462172275849,6.22511431276624,5.63730917620068,0
20,20,0.803175040124416,1,1,100,3.63557445684425,3.33618931016519,37.4968762065806,5.63735769585242,4.37240568127072,0
