maxArea,ellipse_similarity_ratio,noPeaks,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,Class
12.0,0.834075701980015,1.0,99.4075799340658,3.25876705844436,2.94628151443081,14.1495072978339,4.77359644269084,1.0
18.0,0.830433880259385,1.0,100.0,3.73240966154082,3.18964787511888,35.6370116062165,5.02959125776495,1.0
12.0,0.829840320876632,1.0,100.0,2.9534492287338,2.75537038738672,11.744343869646,4.1064093595984,1.0
36.0,0.164658547276815,0.0,67.502636062514,6.01907608454068,5.62943418405183,57.057377102883,6.06073811895463,0.0
12.0,0.382633898958006,0.0,56.4276698399243,6.30121191446464,5.99398625952385,63.2826151091571,6.10314104800653,0.0
52.0,0.562217103470772,1.0,55.3272022828523,5.87390931519565,5.66691175412585,73.064728500078,6.1853520270748,0.0
16.0,0.42772493943581,0.0,44.8429342483476,6.20775492648438,5.87011669331137,43.6444631508667,6.14708398252547,0.0
37.5,0.263620280045863,0.0,72.290648621768,5.70345082403543,5.29844777530555,96.424516592287,5.95282359716717,0.0
24.0,0.31308750538656,0.0,32.1141537099924,6.27246808428977,6.04084372863202,93.3145457983567,6.08196984839824,0.0
19.5,0.167362479587924,0.0,27.26947499114,5.91202674024868,5.68894571071773,160.148724866187,6.19715186613704,0.0
27.0,0.729507658489077,1.0,100.0,4.37543426016652,3.85712886161682,53.5299435022656,5.87201128666925,1.0
