maxArea,ellipse_similarity_ratio,noPeaks,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,bicEn12h8,Class
12.0,0.799338722255847,1.0,92.878258170095,3.08990660180985,2.80072512497378,3.88916807759421,3.77428102679468,1.0
18.0,0.812918680649467,1.0,100.0,3.33958276327641,3.06168354024975,8.71132354037323,4.52263034455988,1.0
12.0,0.831793295749466,1.0,100.0,3.06379012585077,2.80406134302221,10.5560792577214,4.07716794192297,1.0
21.0,0.479882503933407,0.0,89.7431718200441,5.34120591367678,4.73203322760698,55.0798892736445,6.09744168299407,0.0
18.0,0.303710037047421,0.0,50.628556506466,6.09407403553057,5.73279869763611,55.3760328763656,6.1721930465606,0.0
85.0,0.279277012983288,0.0,54.3034513797971,6.37521917739281,6.17063582820486,62.1184201702075,6.14535487644263,0.0
52.5,0.317219873504484,0.0,28.4310591638778,6.42783663207919,6.2531320225036,103.398899602401,6.16625741118724,0.0
69.0,0.273215391943387,0.0,44.6745756309998,6.38325997421916,6.1267032172021,106.872955908153,6.09037108496679,0.0
22.0,0.281842493355248,0.0,52.437117821361,6.13177383389207,5.9289646755678,98.3595413531821,6.18405062506347,0.0
81.0,0.375025321379796,0.0,34.9192498348184,6.4943107652249,6.34989273624709,119.21913322585,6.14127455655034,0.0
12.0,0.84901084961347,1.0,100.0,3.50155171797893,3.06462099258168,18.4805967700757,5.08988520652424,1.0
